Component,Line,Severity,Type,Message,Effort,Author,SoftwareQuality
iola:external/socket.io.client.html,2,MAJOR,BUG,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element",2min,varentsovpavel@gmail.com,RELIABILITY
iola:external/socket.io.client.html,3,MAJOR,BUG,Add a <title> tag to this page.,5min,varentsovpavel@gmail.com,RELIABILITY
iola:src/api/http/nest/http.filter.ts,24,MINOR,CODE_SMELL,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.",5min,varentsovpavel@gmail.com,MAINTAINABILITY
iola:src/api/http/nest/http.filter.ts,25,MINOR,CODE_SMELL,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.",5min,varentsovpavel@gmail.com,MAINTAINABILITY
iola:src/core/common/util/message.util.ts,1,MINOR,CODE_SMELL,Remove this unused import of 'InspectOptions'.,1min,varentsovpavel@gmail.com,MAINTAINABILITY
iola:src/core/common/util/message.util.ts,47,MINOR,CODE_SMELL,Handle this exception or don't catch it at all.,1h,varentsovpavel@gmail.com,MAINTAINABILITY
iola:src/core/common/util/message.util.ts,104,MINOR,CODE_SMELL,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.",5min,varentsovpavel@gmail.com,MAINTAINABILITY
iola:src/core/common/util/message.util.ts,105,MINOR,CODE_SMELL,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.",5min,varentsovpavel@gmail.com,MAINTAINABILITY
iola:src/core/socket/client/net-socket.client.ts,166,MAJOR,BUG,Promise executor functions should not be async.,5min,varentsovpavel@gmail.com,RELIABILITY
iola:src/core/socket/client/net-socket.client.ts,180,MAJOR,CODE_SMELL,Expected the Promise rejection reason to be an Error.,5min,varentsovpavel@gmail.com,RELIABILITY
iola:src/core/socket/client/net-socket.client.ts,211,MINOR,CODE_SMELL,Handle this exception or don't catch it at all.,1h,varentsovpavel@gmail.com,MAINTAINABILITY
iola:src/core/socket/client/net-socket.sync.client.ts,82,MAJOR,CODE_SMELL,Expected the Promise rejection reason to be an Error.,5min,varentsovpavel@gmail.com,RELIABILITY
iola:src/core/socket/client/socketio.client.ts,162,MINOR,CODE_SMELL,Handle this exception or don't catch it at all.,1h,varentsovpavel@gmail.com,MAINTAINABILITY
iola:src/core/socket/client/socketio.client.ts,197,MINOR,CODE_SMELL,Handle this exception or don't catch it at all.,1h,varentsovpavel@gmail.com,MAINTAINABILITY
iola:src/core/socket/client/websocket.client.ts,182,MINOR,CODE_SMELL,Handle this exception or don't catch it at all.,1h,varentsovpavel@gmail.com,MAINTAINABILITY
iola:src/core/socket/client/websocket.client.ts,202,MAJOR,BUG,Promise executor functions should not be async.,5min,varentsovpavel@gmail.com,RELIABILITY
iola:src/core/socket/client/websocket.client.ts,219,MAJOR,CODE_SMELL,Expected the Promise rejection reason to be an Error.,5min,varentsovpavel@gmail.com,RELIABILITY
iola:src/core/socket/client/websocket.client.ts,248,MINOR,CODE_SMELL,Handle this exception or don't catch it at all.,1h,varentsovpavel@gmail.com,MAINTAINABILITY
iola:src/core/socket/store/binary-message.store.ts,46,MINOR,CODE_SMELL,"Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator.",5min,varentsovpavel@gmail.com,MAINTAINABILITY
